id,value
ENCODE,
ENCODE.immortalized cell line,
ENCODE.immortalized cell line.3D chromatin structure,
ENCODE.immortalized cell line.3D chromatin structure.5C,1
ENCODE.immortalized cell line.3D chromatin structure.ChIA-PET,1
ENCODE.immortalized cell line.3D chromatin structure.HiC,1
ENCODE.immortalized cell line.DNA accessibility,
ENCODE.immortalized cell line.DNA accessibility.DNase-seq,1
ENCODE.immortalized cell line.DNA accessibility.FAIRE-seq,1
ENCODE.immortalized cell line.DNA accessibility.MNase-seq,1
ENCODE.immortalized cell line.DNA accessibility.genetic modification followed by DNase-seq,1
ENCODE.immortalized cell line.DNA binding,
ENCODE.immortalized cell line.DNA binding.ChIP-seq,1
ENCODE.immortalized cell line.DNA methylation,
ENCODE.immortalized cell line.DNA methylation.DNA methylation profiling by array assay,1
ENCODE.immortalized cell line.DNA methylation.MRE-seq,1
ENCODE.immortalized cell line.DNA methylation.MeDIP-seq,1
ENCODE.immortalized cell line.DNA methylation.RRBS,1
ENCODE.immortalized cell line.DNA methylation.whole-genome shotgun bisulfite sequencing,1
ENCODE.immortalized cell line.Genotyping,
ENCODE.immortalized cell line.Genotyping.DNA-PET,1
ENCODE.immortalized cell line.Genotyping.comparative genomic hybridization by array,1
ENCODE.immortalized cell line.Proteomics,
ENCODE.immortalized cell line.Proteomics.protein sequencing by tandem mass spectrometry assay,1
ENCODE.immortalized cell line.RNA binding,
ENCODE.immortalized cell line.RNA binding.RIP-chip,1
ENCODE.immortalized cell line.RNA binding.RIP-seq,1
ENCODE.immortalized cell line.RNA binding.Switchgear,1
ENCODE.immortalized cell line.RNA binding.eCLIP,1
ENCODE.immortalized cell line.RNA binding.iCLIP,1
ENCODE.immortalized cell line.Replication timing,
ENCODE.immortalized cell line.Replication timing.Repli-chip,1
ENCODE.immortalized cell line.Replication timing.Repli-seq,1
ENCODE.immortalized cell line.Transcription,
ENCODE.immortalized cell line.Transcription.Knockdown RNAseq,1
ENCODE.immortalized cell line.Transcription.RNA-PET,1
ENCODE.immortalized cell line.Transcription.RNA-seq,1
ENCODE.immortalized cell line.Transcription.microRNA counts,1
ENCODE.immortalized cell line.Transcription.transcription profiling by array assay,1
ENCODE.in vitro differentiated cells,
ENCODE.in vitro differentiated cells.DNA accessibility,
ENCODE.in vitro differentiated cells.DNA accessibility.DNase-seq,1
ENCODE.in vitro differentiated cells.DNA binding,
ENCODE.in vitro differentiated cells.DNA binding.ChIP-seq,1
ENCODE.in vitro differentiated cells.DNA methylation,
ENCODE.in vitro differentiated cells.DNA methylation.DNA methylation profiling by array assay,1
ENCODE.in vitro differentiated cells.DNA methylation.RRBS,1
ENCODE.in vitro differentiated cells.DNA methylation.whole-genome shotgun bisulfite sequencing,1
ENCODE.in vitro differentiated cells.Genotyping,
ENCODE.in vitro differentiated cells.Genotyping.comparative genomic hybridization by array,1
ENCODE.in vitro differentiated cells.Proteomics,
ENCODE.in vitro differentiated cells.Proteomics.protein sequencing by tandem mass spectrometry assay,1
ENCODE.in vitro differentiated cells.Replication timing,
ENCODE.in vitro differentiated cells.Replication timing.Repli-chip,1
ENCODE.in vitro differentiated cells.Transcription,
ENCODE.in vitro differentiated cells.Transcription.RNA-seq,1
ENCODE.in vitro differentiated cells.Transcription.microRNA counts,1
ENCODE.in vitro differentiated cells.Transcription.transcription profiling by array assay,1
ENCODE.in vitro sample,
ENCODE.in vitro sample.RNA binding,
ENCODE.in vitro sample.RNA binding.RNA Bind-n-Seq,1
ENCODE.induced pluripotent stem cell line,
ENCODE.induced pluripotent stem cell line.DNA accessibility,
ENCODE.induced pluripotent stem cell line.DNA accessibility.DNase-seq,1
ENCODE.induced pluripotent stem cell line.DNA binding,
ENCODE.induced pluripotent stem cell line.DNA binding.ChIP-seq,1
ENCODE.induced pluripotent stem cell line.DNA methylation,
ENCODE.induced pluripotent stem cell line.DNA methylation.DNA methylation profiling by array assay,1
ENCODE.induced pluripotent stem cell line.Replication timing,
ENCODE.induced pluripotent stem cell line.Replication timing.Repli-chip,1
ENCODE.induced pluripotent stem cell line.Transcription,
